symboling,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,enginetype,cylindernumber,enginesize,horsepower,citympg,price
0,hatchback,fwd,front,96.5,167.5,65.2,53.3,ohc,four,110,86,27,9095.0
0,sedan,fwd,front,96.5,175.4,65.2,54.1,ohc,four,110,86,27,8845.0
0,sedan,fwd,front,96.5,175.4,62.5,54.1,ohc,four,110,86,27,10295.0
0,sedan,fwd,front,96.5,175.4,65.2,54.1,ohc,four,110,101,24,12945.0
1,sedan,fwd,front,96.5,169.1,66.0,51.0,ohc,four,110,100,25,10345.0
0,sedan,rwd,front,94.3,170.7,61.8,53.5,ohc,four,111,78,24,6785.0
1,sedan,fwd,front,94.5,155.9,63.6,52.0,ohc,four,90,70,38,8916.5
0,sedan,fwd,front,94.5,155.9,63.6,52.0,ohc,four,90,70,38,8916.5
2,hatchback,rwd,front,96.0,172.6,65.2,51.4,ohc,four,119,90,24,11048.0
0,sedan,rwd,front,113.0,199.6,69.6,52.8,dohc,six,258,176,15,32250.0
0,sedan,rwd,front,113.0,199.6,69.6,52.8,dohc,six,258,176,15,35550.0
0,sedan,rwd,front,102.0,191.7,70.6,47.8,ohcv,twelve,326,262,13,36000.0
1,hatchback,fwd,front,93.1,159.1,64.2,54.1,ohc,four,91,68,30,5195.0
1,hatchback,fwd,front,93.1,159.1,64.2,54.1,ohc,four,91,68,31,6095.0
1,hatchback,fwd,front,93.1,159.1,64.2,54.1,ohc,four,91,68,31,6795.0
1,sedan,fwd,front,93.1,166.8,64.2,54.1,ohc,four,91,68,31,6695.0
1,sedan,fwd,front,93.1,166.8,64.2,54.1,ohc,four,91,68,31,7395.0
3,hatchback,rwd,front,95.3,169.0,65.7,49.6,rotor,two,70,101,17,10945.0
3,hatchback,rwd,front,95.3,169.0,65.7,49.6,rotor,two,70,101,17,11845.0
3,hatchback,rwd,front,95.3,169.0,65.7,49.6,rotor,two,70,101,17,13645.0
3,hatchback,rwd,front,95.3,169.0,65.7,49.6,rotor,two,80,135,16,15645.0
1,hatchback,fwd,front,98.8,177.8,66.5,53.7,ohc,four,122,84,26,8845.0
0,sedan,fwd,front,98.8,177.8,66.5,55.5,ohc,four,122,84,26,8495.0
1,hatchback,fwd,front,98.8,177.8,66.5,53.7,ohc,four,122,84,26,10595.0
0,sedan,fwd,front,98.8,177.8,66.5,55.5,ohc,four,122,84,26,10245.0
0,sedan,fwd,front,98.8,177.8,66.5,55.5,ohc,four,122,64,36,10795.0
0,hatchback,fwd,front,98.8,177.8,66.5,55.5,ohc,four,122,84,26,11245.0
0,sedan,rwd,front,104.9,175.0,66.1,54.4,ohc,four,140,120,19,18280.0
0,sedan,rwd,front,104.9,175.0,66.1,54.4,ohc,four,134,72,31,18344.0
-1,sedan,rwd,front,110.0,190.9,70.3,56.5,ohc,five,183,123,22,25552.0
-1,wagon,rwd,front,110.0,190.9,70.3,58.7,ohc,five,183,123,22,28248.0
0,hardtop,rwd,front,106.7,187.5,70.3,54.9,ohc,five,183,123,22,28176.0
-1,sedan,rwd,front,115.6,202.6,71.7,56.3,ohc,five,183,123,22,31600.0
-1,sedan,rwd,front,115.6,202.6,71.7,56.5,ohcv,eight,234,155,16,34184.0
3,convertible,rwd,front,96.6,180.3,70.5,50.8,ohcv,eight,234,155,16,35056.0
0,sedan,rwd,front,120.9,208.1,71.7,56.7,ohcv,eight,308,184,14,40960.0
1,hardtop,rwd,front,112.0,199.2,72.0,55.4,ohcv,eight,304,184,14,45400.0
1,hatchback,rwd,front,102.7,178.4,68.0,54.8,ohc,four,140,175,19,16503.0
2,hatchback,fwd,front,93.7,157.3,64.4,50.8,ohc,four,92,68,37,5389.0
2,hatchback,fwd,front,93.7,157.3,64.4,50.8,ohc,four,92,68,31,6189.0
2,hatchback,fwd,front,93.7,157.3,64.4,50.8,ohc,four,92,68,31,6669.0
1,hatchback,fwd,front,93.0,157.3,63.8,50.8,ohc,four,98,102,24,7689.0
3,hatchback,fwd,front,96.3,173.0,65.4,49.4,ohc,four,110,116,23,9959.0
3,hatchback,fwd,front,96.3,173.0,65.4,49.4,ohc,four,122,88,25,8499.0
3,hatchback,fwd,front,95.9,173.2,66.3,50.2,ohc,four,156,145,19,12629.0
3,hatchback,fwd,front,95.9,173.2,66.3,50.2,ohc,four,156,145,19,14869.0
3,hatchback,fwd,front,95.9,173.2,66.3,50.2,ohc,four,156,145,19,14489.0
1,sedan,fwd,front,96.3,172.4,65.4,51.6,ohc,four,122,88,25,6989.0
1,sedan,fwd,front,96.3,172.4,65.4,51.6,ohc,four,122,88,25,8189.0
1,sedan,fwd,front,96.3,172.4,65.4,51.6,ohc,four,110,116,23,9279.0
-1,sedan,fwd,front,96.3,172.4,65.4,51.6,ohc,four,110,116,23,9279.0
1,sedan,fwd,front,94.5,165.3,63.8,54.5,ohc,four,97,69,31,5499.0
1,sedan,fwd,front,94.5,165.3,63.8,54.5,ohc,four,103,55,45,7099.0
1,sedan,fwd,front,94.5,165.3,63.8,54.5,ohc,four,97,69,31,6649.0
1,sedan,fwd,front,94.5,165.3,63.8,54.5,ohc,four,97,69,31,6849.0
1,wagon,fwd,front,94.5,170.2,63.8,53.5,ohc,four,97,69,31,7349.0
1,sedan,fwd,front,94.5,165.3,63.8,54.5,ohc,four,97,69,31,7299.0
1,hatchback,fwd,front,94.5,165.6,63.8,53.3,ohc,four,97,69,31,7799.0
1,sedan,fwd,front,94.5,165.3,63.8,54.5,ohc,four,97,69,31,7499.0
1,wagon,fwd,front,94.5,170.2,63.8,53.5,ohc,four,97,69,31,7999.0
2,hardtop,fwd,front,95.1,162.4,63.8,53.3,ohc,four,97,69,31,8249.0
0,hatchback,fwd,front,97.2,173.4,65.2,54.7,ohc,four,120,97,27,8949.0
0,sedan,fwd,front,97.2,173.4,65.2,54.7,ohc,four,120,97,27,9549.0
0,sedan,fwd,front,100.4,181.7,66.5,55.1,ohcv,six,181,152,17,13499.0
0,wagon,fwd,front,100.4,184.6,66.5,56.1,ohcv,six,181,152,17,14399.0
0,sedan,fwd,front,100.4,184.6,66.5,55.1,ohcv,six,181,152,19,13499.0
3,hatchback,rwd,front,91.3,170.7,67.9,49.7,ohcv,six,181,160,19,17199.0
3,hatchback,rwd,front,91.3,170.7,67.9,49.7,ohcv,six,181,200,17,19699.0
1,hatchback,rwd,front,99.2,178.5,67.9,49.7,ohcv,six,181,160,19,18399.0
0,sedan,rwd,front,107.9,186.7,68.4,56.7,l,four,120,97,19,11900.0
0,sedan,rwd,front,107.9,186.7,68.4,56.7,l,four,152,95,28,13200.0
0,wagon,rwd,front,114.2,198.9,68.4,58.7,l,four,120,97,19,12440.0
0,wagon,rwd,front,114.2,198.9,68.4,58.7,l,four,152,95,25,13860.0
0,sedan,rwd,front,107.9,186.7,68.4,56.7,l,four,120,95,19,15580.0
0,sedan,rwd,front,107.9,186.7,68.4,56.7,l,four,152,95,28,16900.0
0,wagon,rwd,front,114.2,198.9,68.4,56.7,l,four,120,95,19,16695.0
0,wagon,rwd,front,114.2,198.9,68.4,58.7,l,four,152,95,25,17075.0
0,sedan,rwd,front,107.9,186.7,68.4,56.7,l,four,120,97,19,16630.0
0,sedan,rwd,front,107.9,186.7,68.4,56.7,l,four,152,95,28,17950.0
0,sedan,rwd,front,108.0,186.7,68.3,56.0,l,four,134,142,18,18150.0
1,hatchback,fwd,front,93.7,157.3,63.8,50.8,ohc,four,90,68,37,5572.0
1,hatchback,fwd,front,93.7,157.3,63.8,50.8,ohc,four,98,102,24,7957.0
1,hatchback,fwd,front,93.7,157.3,63.8,50.6,ohc,four,90,68,31,6229.0
1,sedan,fwd,front,93.7,167.3,63.8,50.8,ohc,four,90,68,31,6692.0
1,sedan,fwd,front,93.7,167.3,63.8,50.8,ohc,four,98,68,31,7609.0
-1,wagon,fwd,front,103.3,174.6,64.6,59.8,ohc,four,122,88,24,8921.0
3,hatchback,rwd,front,95.9,173.2,66.3,50.2,ohc,four,156,145,19,12764.0
3,hatchback,rwd,front,94.5,168.9,68.3,50.2,ohc,four,151,143,19,22018.0
3,hardtop,rwd,rear,89.5,168.9,65.0,51.6,ohcf,six,194,207,17,32528.0
3,hardtop,rwd,rear,89.5,168.9,65.0,51.6,ohcf,six,194,207,17,34028.0
3,convertible,rwd,rear,89.5,168.9,65.0,51.6,ohcf,six,194,207,17,37028.0
1,hatchback,rwd,front,98.4,175.7,72.3,50.5,dohcv,eight,203,288,17,31400.5
0,wagon,fwd,front,96.1,181.5,66.5,55.2,ohc,four,132,90,23,9295.0
2,hatchback,fwd,front,96.1,176.8,66.6,50.5,ohc,four,132,90,23,9895.0
3,hatchback,fwd,front,99.1,186.6,66.5,56.1,ohc,four,121,110,21,11850.0
2,sedan,fwd,front,99.1,186.6,66.5,56.1,ohc,four,121,110,21,12170.0
3,hatchback,fwd,front,99.1,186.6,66.5,56.1,ohc,four,121,110,21,15040.0
2,sedan,fwd,front,99.1,186.6,66.5,56.1,ohc,four,121,110,21,15510.0
3,hatchback,fwd,front,99.1,186.6,66.5,56.1,dohc,four,121,160,19,18150.0
2,sedan,fwd,front,99.1,186.6,66.5,56.1,dohc,four,121,160,19,18620.0
2,hatchback,fwd,front,93.7,156.9,63.4,53.7,ohcf,four,97,69,31,5118.0
2,hatchback,fwd,front,93.7,157.9,63.6,53.7,ohcf,four,108,73,26,7053.0
2,hatchback,4wd,front,93.3,157.3,63.8,55.7,ohcf,four,108,73,26,7603.0
0,sedan,fwd,front,97.2,172.0,65.4,52.5,ohcf,four,108,82,32,7126.0
0,sedan,fwd,front,97.2,172.0,65.4,52.5,ohcf,four,108,82,28,7775.0
0,sedan,fwd,front,97.2,172.0,65.4,52.5,ohcf,four,108,94,26,9960.0
0,sedan,4wd,front,97.0,172.0,65.4,54.3,ohcf,four,108,82,24,9233.0
0,sedan,4wd,front,97.0,172.0,65.4,54.3,ohcf,four,108,111,24,11259.0
0,wagon,fwd,front,97.0,173.5,65.4,53.0,ohcf,four,108,82,28,7463.0
0,wagon,fwd,front,97.0,173.5,65.4,53.0,ohcf,four,108,94,25,10198.0
0,wagon,4wd,front,96.9,173.6,65.4,54.9,ohcf,four,108,82,23,8013.0
0,wagon,4wd,front,96.9,173.6,65.4,54.9,ohcf,four,108,111,23,11694.0
1,hatchback,fwd,front,95.7,158.7,63.6,54.5,ohc,four,92,62,35,5348.0
1,hatchback,fwd,front,95.7,158.7,63.6,54.5,ohc,four,92,62,31,6338.0
1,hatchback,fwd,front,95.7,158.7,63.6,54.5,ohc,four,92,62,31,6488.0
0,wagon,fwd,front,95.7,169.7,63.6,59.1,ohc,four,92,62,31,6918.0
0,wagon,4wd,front,95.7,169.7,63.6,59.1,ohc,four,92,62,27,7898.0
0,wagon,4wd,front,95.7,169.7,63.6,59.1,ohc,four,92,62,27,8778.0
0,sedan,fwd,front,95.7,166.3,64.4,53.0,ohc,four,98,70,30,6938.0
0,hatchback,fwd,front,95.7,166.3,64.4,52.8,ohc,four,98,70,30,7198.0
0,sedan,fwd,front,95.7,166.3,64.4,53.0,ohc,four,110,56,34,7898.0
0,hatchback,fwd,front,95.7,166.3,64.4,52.8,ohc,four,110,56,38,7788.0
0,sedan,fwd,front,95.7,166.3,64.4,53.0,ohc,four,98,70,38,7738.0
0,hatchback,fwd,front,95.7,166.3,64.4,52.8,ohc,four,98,70,28,8358.0
0,sedan,fwd,front,95.7,166.3,64.4,52.8,ohc,four,98,70,28,9258.0
1,sedan,rwd,front,94.5,168.7,64.0,52.6,ohc,four,98,70,29,8058.0
1,hatchback,rwd,front,94.5,168.7,64.0,52.6,ohc,four,98,70,29,8238.0
1,sedan,rwd,front,94.5,168.7,64.0,52.6,dohc,four,98,112,26,9298.0
1,hatchback,rwd,front,94.5,168.7,64.0,52.6,dohc,four,98,112,26,9538.0
2,hardtop,rwd,front,98.4,176.2,65.6,52.0,ohc,four,146,116,24,8449.0
2,hardtop,rwd,front,98.4,176.2,65.6,52.0,ohc,four,146,116,24,9639.0
2,hatchback,rwd,front,98.4,176.2,65.6,52.0,ohc,four,146,116,24,9989.0
2,hardtop,rwd,front,98.4,176.2,65.6,52.0,ohc,four,146,116,24,11199.0
2,hatchback,rwd,front,98.4,176.2,65.6,52.0,ohc,four,146,116,24,11549.0
2,convertible,rwd,front,98.4,176.2,65.6,53.0,ohc,four,146,116,24,17669.0
-1,sedan,fwd,front,102.4,175.6,66.5,54.9,ohc,four,122,92,29,8948.0
-1,sedan,fwd,front,102.4,175.6,66.5,54.9,ohc,four,110,73,30,10698.0
-1,hatchback,fwd,front,102.4,175.6,66.5,53.9,ohc,four,122,92,27,9988.0
-1,sedan,fwd,front,102.4,175.6,66.5,54.9,ohc,four,122,92,27,10898.0
-1,hatchback,fwd,front,102.4,175.6,66.5,53.9,ohc,four,122,92,27,11248.0
3,hatchback,rwd,front,102.9,183.5,67.7,52.0,dohc,six,171,161,20,16558.0
3,hatchback,rwd,front,102.9,183.5,67.7,52.0,dohc,six,171,161,19,15998.0
-1,sedan,rwd,front,104.5,187.8,66.5,54.1,dohc,six,171,156,20,15690.0
-1,wagon,rwd,front,104.5,187.8,66.5,54.1,dohc,six,161,156,19,15750.0
2,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,four,97,52,37,7775.0
2,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,four,109,85,27,7975.0
2,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,four,97,52,37,7995.0
2,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,four,109,85,27,8195.0
2,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,four,109,85,27,8495.0
2,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,four,97,68,37,9495.0
2,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,four,109,100,26,9995.0
3,convertible,fwd,front,94.5,159.3,64.2,55.6,ohc,four,109,90,24,11595.0
3,hatchback,fwd,front,94.5,165.7,64.0,51.4,ohc,four,109,90,24,9980.0
0,sedan,fwd,front,100.4,180.2,66.9,55.1,ohc,five,136,110,19,13295.0
0,sedan,fwd,front,100.4,180.2,66.9,55.1,ohc,four,97,68,33,13845.0
0,wagon,fwd,front,100.4,183.1,66.9,55.1,ohc,four,109,88,25,12290.0
-2,sedan,rwd,front,104.3,188.8,67.2,56.2,ohc,four,141,114,23,12940.0
-1,wagon,rwd,front,104.3,188.8,67.2,57.5,ohc,four,141,114,23,13415.0
-2,sedan,rwd,front,104.3,188.8,67.2,56.2,ohc,four,141,114,24,15985.0
-1,wagon,rwd,front,104.3,188.8,67.2,57.5,ohc,four,141,114,24,16515.0
-2,sedan,rwd,front,104.3,188.8,67.2,56.2,ohc,four,130,162,17,18420.0
-1,wagon,rwd,front,104.3,188.8,67.2,57.5,ohc,four,130,162,17,18950.0
-1,sedan,rwd,front,109.1,188.8,68.9,55.5,ohc,four,141,114,23,16845.0
-1,sedan,rwd,front,109.1,188.8,68.8,55.5,ohc,four,141,160,19,19045.0
-1,sedan,rwd,front,109.1,188.8,68.9,55.5,ohcv,six,173,134,18,21485.0
-1,sedan,rwd,front,109.1,188.8,68.9,55.5,ohc,six,145,106,26,22470.0
-1,sedan,rwd,front,109.1,188.8,68.9,55.5,ohc,four,141,114,19,22625.0
